#swprepost v2.0.0,,
#1 potential descriptions:,,
#rayleigh 0,,
#Frequency (Hz),Velocity (m/s),Velocity Standard Deviation (m/s)
6.9187,345.9355,38.0529
7.7334,333.4527,35.9778
8.4445,313.9995,33.2178
9.1159,292.3113,30.3081
9.6031,265.5517,26.9745
10.168,242.4751,24.1199
10.8237,222.5865,21.6729
11.5896,205.5333,19.5798
12.4777,190.8272,17.7771
13.6679,180.2605,16.4132
15.1813,172.6637,15.358
17.1854,168.556,14.6378
19.6744,166.4089,14.101
22.7588,166.0039,13.7172
26.5323,166.8916,13.4392
31.0441,168.3961,13.2058
36.2862,169.7409,12.9539
42.1473,170.0225,12.6175
48.5234,168.8032,12.1716
55.385,166.1551,11.6309
